air  havo 
abandon tark
ability qobiliyat
able qodir
about haqida
abroad chetelda
accept qabulqilish
accident tasodif
achieve erishmoq
acknowledge tanimoq
acquire egallamoq
action harakat
actual haqiqiy
addition qo'shimcha 
terrify qorqitmoq
play oynamoq
system tizim
blackboard doska
cup chashka
pen ruchka
glass stakan
computer kompyuter
charger zaryadka
I men
you sen
good yaxshi
recommendation tavsiya
playground oyingoh
fall yiqilmoq
room xona
carpet gilam
fruit meva
say aytmoq
tie boglamoq
blend aralashtirmoq
verb fe'l
grab ushlamoq
approach yaqinlashmoq
meeting uchrashuv
cry yiglamoq
benefit foyda
